标题,出发日期,天数,城市,路线,人数,玩法,费用,阅读数,点赞数,评论数
寻味湘西，自驾而行,2021-12-25 出发,共1天,吉首>永顺>湘西,德夯大峡谷>矮寨大桥>芙蓉镇>凤凰沱江缘民宿>矮寨镇>矮寨盘山公路>天问台>天泉客...,,美食 古镇 自驾 摄影,,7376,61,9
未命名标题,2021-12-24 出发,共1天,吉林市,松花江>万科松花湖国际度假区,,美食 滑雪,,9355,34,5
走进平遥古城，享受韵味十足的古城文化,2021-12-18 出发,共2天,平遥,城隍庙>中国商会博物馆>清虚观>日升昌票号>平遥古城>古兵器博物馆>天吉祥博物馆...,独自一人,深度游 古镇 摄影 冬季,,8586,36,4
以赣深高铁之名，于都4天3晚游,2021-12-23 出发,共1天,于都,,,美食,,2.2万,61,4
漫游青岛，用脚步探索一座城市的浪漫#发游记瓜分奖金#,2021-12-23 出发,共2天,青岛,青岛>海军博物馆>圣弥厄尔教堂>青岛站>栈桥>小青岛>信号山公园>观象二路>观象山...,独自一人,深度游 漫游 短途周末 徒步 冬季 探险,,2.4万,63,6
乐山乐胃乐逍遥，人生总该有一次专程为了吃的旅行,2021-12-22 出发,共2天,乐山,乐山大佛>小豆海棠(嘉兴路店)>海汇源老烧麦店>跷脚牛肉>冯三娘跷脚牛肉(总店）翘脚...,情侣,美食,,2.1万,50,7
内蒙古，秋色在草原与森林间肆意，火山与天池雕刻着记忆,2021-10-01 出发,共7天,北京,正阳门,家庭,深度游 自驾 摄影 赏秋 国庆,,2669,42,5
"繁星为灯，心向远方---3600Km北疆伊犁环线,美的尽头竟是新疆",2021-06-18 出发,共11天,乌鲁木齐>吐鲁番>喀纳斯Kanasi,地窝堡国际机场>新疆国际大巴扎>火焰山景区>吐鲁番盆地,三五好友,深度游 自驾 摄影 夏季,人均5600元,3958,42,7
未命名标题,2021-12-20 出发,共1天,靖西>崇左,鹅泉>渠洋湖>三叠岭瀑布>爱布瀑布群>通灵大峡谷>通灵大瀑布,,美食 赏秋,,7230,48,6
小鲁面の一次没有台本的旅行『德、法、意、瑞』,2016-08-13 出发,共14天,法国(巴黎Paris)>意大利(佛罗伦萨Florence),塞纳河>协和广场>香榭丽舍大街>佛罗伦萨>米开朗琪罗广场>圣母百花大教堂>凯旋门...,三五好友,深度游 暑假 摄影 第一次,人均20000元,5460,60,8
小鲁面の萨瓦迪卡泰国『曼谷+芭提雅』#发游记瓜分奖金#,2016-01-12 出发,共6天,泰国(曼谷Bangkok 芭堤雅Pattaya),大皇宫>富贵黄金屋>泰国王权免税店（芭提雅市区店）>暹罗蛇园毒蛇研究中心,三五好友,深度游 跨年 摄影 第一次,人均7000元,7270,55,4
挺进大别山 登顶白马尖 我们的一次不寻常的穿越,2021-11-25 出发,共3天,霍山>六安,大别山主峰景区白马尖>大别山>六安站,三五好友,购物 短途周末 摄影 赏秋 探险,人均1070元,9906,44,9
总有一个世外桃源在等你,2021-09-25 出发,共6天,桂林>阳朔,独秀峰王城景区>椿记烧鹅>象鼻山景区>东西巷>正阳步行街>两江四湖>阳朔>阳朔禧朔...,,,,1.2万,41,6
小白的甘肃之旅,2021-12-13 出发,共5天,嘉峪关>敦煌>兰州,嘉峪关文物景区>鸣沙山>悬壁长城>嘉峪关关城>鸣沙山月牙泉>莫高窟,,,人均2500元,1.1万,48,6
15天游云南,2021-07-16 出发,共15天,大理市区>丽江>香格里拉Xianggelila>景洪>西双版纳>大理,喜洲>苍山洗马潭景区>双廊>洱海>丽江古城>虎跳峡>普达措国家公园>香格里拉土司宴...,,古镇,人均7800元,9442,69,4
小鲁面の你好冲绳，请多指教！ 『冲绳必看自由行黄金线路』#发游记瓜分奖金#,2017-08-14 出发,共6天,日本(那霸Naha)>瑞士(蒙特勒Montreux),波上宫>旭桥站,三五好友,深度游 购物 漫游 美食 海滨海岛 暑假 摄影,人均8000元,5025,3,0
山东之旅：看山东美景，品齐鲁文化（二）,2021-06-10 出发,共53天,聊城>德州>庆云>滨州>东营>广饶>淄博>沂源>青州>潍坊>龙口>烟台>垦利,中华水上古城>山陕会馆>中国运河文化博物馆>孔繁森同志纪念馆>苏禄王墓>古运河风景...,,深度游 环游 自驾 登山 夏季,人均9500元,1万,66,8
【济州岛】九月初的济州，时有风，偶有雨，却依然浪漫。,2019-09-08 出发,共5天,韩国(济州岛Jeju Island),,三五好友,海滨海岛 第一次,人均4380元,1.1万,38,6
川渝十日世遗之旅,2021-10-15 出发,共10天,重庆>峨眉山,大足石刻>灵秀温泉>报国寺>峨眉山>万年寺>峨嵋金顶>金顶>洪崖洞>重庆西站>洪崖...,家庭,,人均3250元,3195,64,5
金秋十月，金陵南京,2021-11-04 出发,共3天,南京,栖霞山>钟山风景名胜区>南京南站>夫子庙>南京站>中山陵景区>瞻园>太平天国历史博...,闺蜜,美食 短途周末 赏秋,人均1800元,4668,13,0
日喀则喜马拉雅五条沟，我们沿着边境线走了一周,2021-11-20 出发,共8天,,,情侣,,人均8000元,31.7万,75,3
重走长征路│“Z世代”红色旅游目的地，于都比你想象的更好玩！,2021-11-18 出发,共4天,于都,中央红军长征出发地纪念园,三五好友,深度游 美食,人均1000元,3.8万,160,4
泉州石狮4天3夜，浪漫海滨小城，无敌海景还有诱人美食,2021-11-29 出发,共1天,石狮>泉州,观音山>红塔湾>六胜塔>泉州开元寺>晋江机场>万寿塔>石狮市博物馆>石狮嘉年华酒店...,三五好友,深度游 美食 海滨海岛 摄影,人均4000元,2万,121,0
秋日南雄邂逅一期一遇的金黄色浪漫，边遛娃边露营,2021-11-26 出发,共3天,南雄,,亲子,美食 寒假 赏枫 短途周末 赏秋 第一次,人均1000元,2万,92,4
小鲁面の熟悉又陌生的城市·符拉迪沃斯托克#发游记瓜分奖金#,2015-08-20 出发,共3天,俄罗斯(海参崴Vladivostok),海参崴火车站>潜水艇C-56博物馆,三五好友,美食 暑假 短途周末 摄影 第一次,人均2000元,9271,47,4
成都plus重庆,2021-09-18 出发,共7天,成都,鹤鸣茶社>人民公园>四川大学>金沙遗址博物馆,亲子,,,9219,37,3
踏着深秋的落叶，去四明山来场自驾游,2021-11-24 出发,共2天,余姚>四明山Simingmountain,四明湖>丹山赤水>四明山国家森林公园,情侣,自驾 赏秋 第一次,人均663元,1.8万,40,5
KK粤北觅银杏      一叶一世界,2021-12-02 出发,共5天,连南>丹霞山Mountdanxia,千年瑶寨>万山朝王>南岗千年瑶寨景区（古寨门）,家庭,自驾 赏枫 摄影 赏秋,人均1200元,1.1万,40,12
阆中古城品味风水文化,2021-11-29 出发,共2天,阆中,阆中古城,独自一人,深度游 万圣节 古镇 摄影,,1.3万,61,3
累了 去另一座城走走,2021-10-21 出发,共3天,昆山>上海,顾炎武故居>古戏台>千灯古镇>亭林园>石板街>衡复历史文化风貌区>昆曲博物馆>延福...,三五好友,美食 古镇 自驾 短途周末 赏秋,人均1200元,1.2万,58,7
潮州｜上山下水深度游潮州，逛吃大街小巷地道美食,2021-11-10 出发,共5天,潮州,开元寺>凤凰天池>大吴泥塑博物馆>李工坑村>牌坊街>凤翔峡>潮汕站>绿太阳生态旅游...,三五好友,深度游 美食 温泉 自驾,人均1500元,4.6万,45,5
即刻滇赴，探索中国45°，人间净土云南！,2021-11-10 出发,共7天,香格里拉Xianggelila>丽江>大理,虎跳峡>独克宗古城>214国道>松赞林景区>拉姆央措湖>噶丹松赞林寺>尼西汤堆村>香...,三五好友,自驾 摄影 赏秋 探险,人均5000元,1.6万,166,9
纯净的自然与丰富的人文——日本南九州五感之旅,2021-11-29 出发,共5天,日本(鹿儿岛Kagoshima 宫崎市Miyazaki 熊本Kumamoto),鹿儿岛中央站>汤之平展望所>樱岛>仙岩园,,人文,,1.1万,36,3
小鲁面の阔别十七年 长白山小众线路大赏#发游记瓜分奖金#,2021-10-01 出发,共2天,长白山Changbaishan,,三五好友,深度游 自驾 摄影 国庆,人均2000元,15.2万,55,8
潮州吃逛行程全攻略，五条线路一网打尽，应有尽有不踩雷,2021-11-10 出发,共5天,潮州,李工坑村>绿太阳生态旅游度假区>龙湖古寨>丛熙公祠>广济桥>韩文公祠>凤凰天池...,三五好友,深度游 美食 古镇 自驾,人均2000元,7843,53,3
【北京】三游故宫 看六百年风雨 至今风采依旧 #发游记瓜分奖金#,2021-11-16 出发,共3天,北京,神武门>故宫博物院>御花园>太和殿>慈宁宫花园>午门>中和殿>保和殿>慈宁宫>太极...,独自一人,,,1.7万,64,6
东莞出发自驾：韶关坪田银杏森林公园+丹霞山+清远森波拉温泉及奇妙世界,2021-11-23 出发,共4天,韶关>佛冈,韶关澜枫国际酒店>丹霞山远方的家客栈>森波拉火山温泉>森波拉奇妙世界,家庭,温泉 自驾,人均1120元,1.2万,53,4
常州│江南文眼，水乡如梦，多庆幸遇见你——5日亲子旅行攻略,2017-10-01 出发,共5天,常州,东坡公园>青果巷>西瀛门城墙>天宁寺>常州博物馆>篦箕巷>淹城遗址公园>运河五号创...,亲子,中秋节 国庆,,8582,61,6
上天入地，深入湖北秘境，带你看那些隐藏的宝藏风景！,2021-10-18 出发,共11天,恩施,云龙河地缝,三五好友,深度游 自驾 赏秋 冬季,人均5000元,1.5万,105,8
魅力乡村·美宿龙城-28家民宿实地考察-助力乡村旅游振兴,2021-09-22 出发,共5天,柳州>三江>融水,江滨公园>窑埠古镇>柳州火车站>白莲机场>龙潭公园>贝江>程阳八寨>仙人山景区,,探险,人均2000元,1.4万,42,5
小鲁面の请回答2015·梦开始的地方『东京·静冈·关西』#发游记瓜分奖金#,2015-04-26 出发,共7天,日本(东京Tokyo),皇居东御苑>银座>台场>秋叶原,三五好友,深度游 购物 五一 温泉 自驾 摄影,人均10000元,1.1万,44,9
#发游记瓜分奖金#春夏秋冬一年四季，三百六十五天发现不一样的长沙,2021-11-20 出发,共99天,长沙,湘江>茶颜悦色>月亮岛>岳麓山>夏记粉店>五一广场>贾谊故居>湘江中路>扬帆夜市...,,深度游 美食 赏秋 冬季,人均5000元,1.9万,84,6
#发游记瓜分奖金#历经千年的繁华古城泉州，如今却有着别样的闲情逸致。,2021-11-19 出发,共5天,泉州,,,深度游 美食 海滨海岛,人均5000元,1.4万,82,4
大连旅游攻略：附行程路线+本地人建议！（2021年最新~）,2021-10-15 出发,共3天,大连,大连海昌发现王国主题公园>金石滩度假区>付家庄水上乐园>渔人码头>棒棰岛>东方威尼...,独自一人,深度游 美食 国庆,人均1000元,2.1万,49,7
诗画江南，人杰地灵、自驾江浙的慢旅行,2021-11-12 出发,共4天,淮安,,三五好友,深度游 古镇 自驾 摄影 冬季,,4.2万,44,5
环游厦门 | 鹭岛时光之路，赴一场文艺约会 #发游记瓜分奖金#,2021-01-01 出发,共4天,厦门Xiamen>鼓浪屿,鼓浪屿>日光岩>曾厝垵>环岛路>芙蓉隧道>厦门大学>铁路文化公园>中山路步行街...,,深度游 跨年 环游 海滨海岛 骑行 摄影,人均2000元,1.3万,60,7
云南自由行,2021-11-15 出发,共13天,大理市区>大理>丽江>昆明,大理古城>大理站>大理古城方舟沐宅客栈>尽善•百年古院餐厅(王家老宅店)>飘香酒馆(...,三五好友,深度游 美食 自驾 冬季,人均5000元,4376,1,0
延吉与长白｜中朝边境美味与美景的意外,2020-10-04 出发,共7天,延吉,全州拌饭>延边大学>水上市场>帽儿山国家森林公园>二道白河镇,独自一人,购物 美食 摄影 国庆 第一次,人均3300元,4810,83,8
【柯桥验客】| 以美食之名，赴一场舌尖上的柯桥之约,2021-11-06 出发,共3天,,,三五好友,美食 古镇,人均3000元,8.2万,71,4
桂香三天竺（带妈妈享周末）,2021-10-30 出发,共2天,杭州,南山路>青芝坞>一公园>茶人村·只此江南>中国茶叶博物馆>西湖风景名胜区>上天竺法...,亲子,短途周末 赏秋,人均500元,2279,37,6
发现潮州5天自驾游-它如此低调，却如此精彩！,2021-11-10 出发,共5天,潮州,广济桥>牌坊街>潮汕站>龙湖古寨>韩文公祠>丛熙公祠>凤翔峡>潮州青柠民宿>绿太阳...,三五好友,温泉 自驾 摄影 冬季 第一次,人均1500元,1.9万,154,4
#发游记瓜分奖金#走遍安徽广德，探寻皖东南丰厚的文化底蕴,2021-11-17 出发,共5天,广德>南丰,太极洞,,探险,人均3500元,1.2万,48,3
游走柯桥，探访藏在江南美景里的舌尖味道,2021-11-05 出发,共3天,绍兴,柯桥古镇>安昌古镇>平水相逢生态园>绍兴北站>会稽山兜率天景区>云门寺景区>平阳禅...,三五好友,深度游 美食 古镇 自驾 赏秋,人均800元,1.3万,49,5
我眼中的三江侗族自治县,2021-11-16 出发,共1天,三江,仙人山景区>程阳八寨>三江风雨桥>三江鼓楼,,美食,,8448,32,6
红土地之旅——赣北秋日行,2021-10-16 出发,共7天,绩溪,,三五好友,古镇 自驾 赏秋,人均2600元,2197,1,0
再见，厦门我爱你＃发游记瓜分现金＃,2019-03-20 出发,共5天,厦门Xiamen,厦门大学>鼓浪屿>曾厝垵>厦门高崎国际机场T4航站楼-空港客运站>南普陀寺,,海滨海岛 古镇 踏春 第一次,人均2500元,8985,32,4
肆年｜我的故里长安四年(附加99条西安小众宝藏游秘籍）,2021-11-15 出发,共7天,西安,西安钟楼>回民街>终南山>大兴善寺>大唐芙蓉园>曲江书城>大雁塔>青龙寺>唐大慈恩...,独自一人,深度游,人均1000元,1.1万,60,5
【深圳之旅】5天4夜“逛吃环游记”~不跟风景点，只挖掘“宝藏”~,2021-10-21 出发,共5天,深圳,海上世界>华侨城创意文化园>南头古城>宝安>海岸城>深圳国际会展中心>haxnbauer海...,三五好友,环游 购物 美食 短途周末 赏秋 第一次,,1.7万,93,5
人均5000，薄荷岛六天五晚自由行攻略,2019-05-30 出发,共6天,菲律宾(薄荷岛BoholIsland),,闺蜜,购物 美食 海滨海岛 潜水 第一次,人均5000元,1.1万,39,6
#发游记瓜分奖金#....ฅ(*`ω´*)ฅ狮城新加坡（+民丹岛）,2018-03-31 出发,共8天,新加坡(新加坡Singapore),新加坡夜间野生动物园>时光之翼>滨海湾>牛车水>S.E.A.海洋馆>鱼尾狮公园>乌节路...,情侣,深度游 购物 美食 第一次,,1.4万,38,4
那一刻，我靠近了你——秘境萨普，一眼万年（背包自助行）#发游记瓜分奖金#,2019-09-07 出发,共5天,那曲>比如,,三五好友,深度游 穷游 徒步 赏秋 第一次,人均1600元,1.1万,41,4
日本香川，被天使亲吻过的小豆岛,2016-09-12 出发,共2天,日本(小豆岛町Shodoshima-cho),香川县小豆郡>小豆岛橄榄公园,情侣,深度游 赏秋,人均1500元,1536,0,0
一骑快意任萍踪，五省驰骋纵横！ 八千里路云和月，闲情独赏秋香。,2021-11-09 出发,共25天,抚州>婺源>歙县>赣州>吉安>韶关>西递Xidi,正觉古寺>长溪村>石城>菊径村>彩虹桥>浙源>鲍家花园>阳产土楼>深渡镇>渔梁坝...,独自一人,穷游 古镇 自驾 摄影 赏秋,人均5000元,4687,4,2
三亚4天4晚一家三口沉浸式亲子游！,2021-11-04 出发,共4天,三亚,三亚湾>海棠湾>蜈支洲岛>后海村>蜈支洲岛海滨浴场,家庭,深度游 万圣节 自驾 潜水,人均3000元,9414,42,2
自驾本溪 | 在本桓公路追逐秋色，记录北国最美枫叶,2021-10-08 出发,共3天,本溪满族自治县>本溪,洋湖沟>中华枫叶之路>大石湖风景区>关山湖>关门山国家森林公园,情侣,美食 自驾 赏枫 摄影 赏秋,人均1300元,1.1万,61,4
惠山古镇｜满园秋色关不住，恰是江南好景时,2021-10-30 出发,共2天,无锡,东林书院>南长街>鼋头渚>惠山古镇>寄畅园>惠山寺>天下第二泉>锡惠名胜区,亲子,美食 古镇 短途周末 摄影 赏秋,,1.8万,88,9
柯桥验客丨稽山鉴水品味柯桥，感受江南慰藉人心的美食美景,2021-11-07 出发,共1天,绍兴,柯桥古镇>安昌古镇>平水相逢生态园>鉴湖,三五好友,美食 古镇 自驾 短途周末,,6.1万,35,5
暖暖秋冬营口之旅，唯温泉与海鲜不可辜负,2021-10-22 出发,共3天,营口,望儿山>山海广场,三五好友,美食 温泉 登山 赏秋 冬季,,4.3万,33,4
叁人钟祥京山随州叁日游,2021-11-01 出发,共3天,荆门>随州>京山>钟祥,明显陵>随州博物馆>空山洞>绿林仙人洞>莫愁村>随州宾馆,家庭,万圣节 穷游 自驾 赏秋 第一次,人均350元,8197,37,6
我们一起去看海......,2021-09-04 出发,共4天,台州>温岭>天台,台州一鼎豪生大酒店>大陈岛>甲午岩>石塘>七彩小箬村>国清景区,三五好友,美食 自驾 摄影 夏季 第一次,人均1300元,1.3万,33,8
【疆之南，帕米尔之秋】2021年10月国庆南疆10日自驾游＃发游记瓜分奖金＃,2021-09-27 出发,共10天,乌鲁木齐>塔什库尔干Tashikuergan>轮台>喀什市>克孜勒苏柯尔克孜>喀什,胡杨林>盘龙古道>帕米尔高原>沙漠公路>香妃园>喀什老城>喀什大巴扎>艾提尕尔清真...,家庭,深度游 漫游 美食 自驾 摄影 国庆,人均6000元,2万,110,13
海西老友记，派发色彩盲盒给你,2021-11-03 出发,共6天,海西,大柴旦翡翠湖旅游景区>大柴旦镇,三五好友,环游 自驾,,4599,75,5
广州增城自驾两天一夜，采柿子稻田漫步惬意乡村风情,2021-10-23 出发,共2天,广州,增城>广州花溪于舍民宿>高坡头烧鸡>派潭市场,情侣,漫游 自驾 摄影 徒步 赏秋,人均500元,3万,156,4
南京，镇江，无锡，苏州，上海，杭州----一家人的乱走,2021-11-02 出发,共1天,南京>无锡>苏州>上海>杭州,玄武湖景区>夫子庙>南京站>南禅寺>南长街>锡惠名胜区>苏州站-北广场>北寺塔>虎...,,,,2179,50,4
一半海水🌊一半火山🌋送自己一场2天避世浪漫海岛之旅,2021-10-22 出发,共3天,涠洲岛,,独自一人,深度游 海滨海岛 短途周末 摄影,人均1500元,9185,62,6
重庆：8D魔幻城市来一场说走就走的旅行,2021-10-09 出发,共4天,重庆,解放碑步行街>十八梯>洪崖洞民俗风貌区>洪崖洞>鹅岭二厂>魁星楼>山城步道>军哥书...,闺蜜,穷游 美食 短途周末 国庆,人均3000元,1.3万,53,11
赏美景、泡温泉、吃美食，解锁宝藏小城营口的最佳游玩方式,2021-10-24 出发,共4天,营口>鲅鱼圈,望儿山>山海广场>营口博物馆>鲅鱼圈站>思拉堡温泉小镇>月亮湖公园,三五好友,深度游 美食 温泉 赏秋,,5.3万,59,4
小鲁面の劳动节避开人流『小众旅行目的地集安+桓仁』,2021-05-01 出发,共3天,集安,高句丽文物展示中心博物馆>好太王碑>将军坟>丸都山城>鸭绿江漂流,三五好友,深度游 五一 自驾 摄影,人均1000元,1.2万,49,10
桂林5日游,2021-10-29 出发,共5天,桂林>阳朔,七星景区>东西巷>象鼻山景区>桂林漓江大瀑布饭店>椿记烧鹅(中山店)>兴坪古镇>桂林...,,,,9633,39,4
内蒙古 锡林郭勒+阿尔山,2021-09-25 出发,共13天,克什克腾旗Keshiketengqi>阿尔山Aershan>兴安盟Xinganmeng>扎兰屯,乌兰布统旅游区>达达线>热阿线>西拉沐沦大峡谷>达里湖>白音敖包景区>黄岗梁国家森...,家庭,深度游 自驾 国庆 第一次,人均5000元,1.2万,38,4
漫游黔西南,2021-10-17 出发,共9天,贵阳>安顺>兴义>黔西南,甲秀楼>安顺文庙>天龙屯堡>文昌阁>旧州古镇>花溪公园>青岩古镇>二七路小吃街...,,漫游 古镇,人均3200元,2490,53,4
这是一座历史小城，也是一座布满美景的城市——青州自驾三日游,2021-10-28 出发,共3天,,,,自驾,人均1000元,1.1万,42,4
西安-郴州-长沙-无锡-苏州-上海迪士尼-杭州-嘉兴乌镇 18天蜜月游,2021-10-02 出发,共18天,苏州>长沙>上海>杭州>无锡,狮子林>橘子洲>东方明珠>岳麓山>拙政园>外滩>湘湖>湘江>704工程>留园>杜甫江...,情侣,蜜月 美食 古镇 自驾 国庆 第一次,人均5000元,9525,57,8
渝见山城·秋游雾都,2021-10-20 出发,共3天,重庆,八一路好吃街>人民大礼堂>洪崖洞民俗风貌区>重庆港客运站>南山一棵树观景台>磁器口...,,古镇 短途周末 摄影 赏秋 第一次,人均3600元,1万,42,11
两天一夜，古北水镇冬季游~,2018-03-03 出发,共1天,北京,古北口司马台村水镇>司马台长城>古北水镇>震远镖局>山顶教堂,情侣,美食 短途周末 冬季 第一次 春节,人均700元,1.9万,74,4
6天5夜重庆巫山、巫溪、城口游,2021-07-29 出发,共6天,重庆,巫溪大宁河>城口遇见三十一涧民宿,三五好友,购物 美食 自驾 暑假 夏季 徒步,人均2000元,1.2万,56,7
宁夏——半城黄沙 半城水韵,2021-10-01 出发,共4天,贺兰>银川>阿拉善左旗Alashanzuoqi>中卫,贺兰山岩画>西夏陵国家考古遗址公园>腾格里景区>沙坡头>宁夏博物馆,亲子,,,5108,68,8
自驾游安徽，江淮分水岭、一路好风景，滁州不再缺乏存在感,2021-09-21 出发,共1天,滁州>凤阳,醉翁亭>明中都古楼>小岗村>狼巷迷谷,三五好友,美食 古镇 自驾 中秋节,人均1500元,9710,56,4
自驾川西·丹巴党岭~新都桥~亚丁~鱼子西~海螺沟附对景区客观评价！,2021-07-31 出发,共9天,北京,大兴机场>颐和园,家庭,古镇 自驾 暑假 第一次,人均7000元,1.1万,38,6
独自一人的河西走廊之行,2021-10-11 出发,共9天,敦煌,雅丹地质公园>鸣沙山月牙泉>莫高窟,独自一人,环游,,7263,60,4
【辽宁】寒露已过 自驾辽东 秋色与历史共享,2021-10-10 出发,共8天,丹东>本溪满族自治县,安东老街>鸭绿江断桥>大石湖风景区>本溪老边沟风景区>大地森林公园,三五好友,自驾 赏枫 赏秋,人均2000元,1.1万,58,6
神秀九寨沟丨十月金秋 彩林初醒更迷人,2021-10-09 出发,共8天,九寨沟>理县>都江堰>成都>阿坝,九寨沟风景区>毕棚沟>都江堰景区>安悦原舍精品主题酒店餐饮部>枫庭月榭酒店>松潘岷...,家庭,深度游 美食 自驾 摄影 赏秋,人均3500元,1.1万,58,9
醉美烟台欢迎你,2021-10-10 出发,共2天,烟台,烟台山景区>朝阳街步行街>烟台第一海水浴场>毓璜顶公园>东炮台海滨风景区>所城里57...,独自一人,深度游 摄影 国庆,人均500元,1.2万,53,5
大西北自驾游16天～额济纳旗胡杨林,2021-10-20 出发,共1天,额济纳旗Ejinaqi,黑城弱水胡杨林景区>额济纳胡杨林旅游区>居延海>策克口岸,,美食 自驾,,9111,48,10
分享干货  季北教你如何策划去呼伦贝尔的旅程,2021-10-01 出发,共12天,呼伦贝尔,大兴安岭林区>呼伦湖>海拉尔,三五好友,自驾 国庆,人均5000元,1.2万,44,6
内蒙古的秋天，五角枫的红点缀了兴安盟金黄色的梦,2021-10-05 出发,共6天,阿尔山Aershan>兴安盟Xinganmeng,三潭峡>天池>同心天池>阿尔山火车站,三五好友,赏秋,人均3000元,8.9万,54,4
十日游之——苏州篇,2021-10-11 出发,共2天,苏州,山塘街>拙政园>狮子林>虎丘山风景名胜区>太湖>沧浪亭>留园>寒山寺,家庭,自驾 国庆,人均800元,3639,45,5
十日游之——再游南京,2021-10-09 出发,共2天,南京,夫子庙>中山陵景区>美龄宫>玄武湖景区,家庭,自驾 国庆,人均600元,1588,29,3
到北疆看最美的深秋与初雪（北疆环线10天9晚）,2021-09-28 出发,共10天,吐鲁番>喀纳斯Kanasi,火焰山景区>吐鲁番麦西莱普酒店>坎儿井民俗园,,美食 摄影 赏秋 国庆 第一次,人均10000元,3029,46,8
一路向西自驾3700公里，定格10座城市，Plan C也可以充满惊喜！,2021-09-30 出发,共10天,阳朔>英德>红河,阳朔>金龙桥>工农桥>遇龙河漂流>遇龙河步道>遇龙河景区>世外桃源,情侣,海滨海岛 自驾 赏秋 国庆,人均7000元,1.4万,66,4
鄂西！沿着长江流域感知历史变迁。湖北六日：武汉、荆州、宜昌、恩施！,2021-09-24 出发,共6天,武汉>荆州>宜昌>恩施市Enshishi>恩施,江汉路步行街>东湖听涛景区>黄鹤楼>辛亥革命武昌起义纪念馆>昙华林>户部巷>大中华...,家庭,深度游 美食 国庆,人均4000元,1.1万,61,8
初秋的青州丨一座古老又诗意的北方小城（3天2晚游玩攻略）,2021-10-15 出发,共1天,青州,井塘古村>黄花溪>青州古城>偶园>范公亭公园>青州博物馆,,美食 赏秋,,4263,49,4
八千里路云和月—北京、乌兰察布、呼和浩特、鄂尔多斯、太原、郑州环线之行,2021-10-01 出发,共5天,,,家庭,自驾 国庆,人均1500元,7689,65,4
遇见阳朔的光与影，晨与昏，山与水,2021-09-24 出发,共4天,阳朔,阳朔>老寨山>大面山>遇龙河步道>遇龙河景区>兴坪码头>兴坪古镇>黄布倒影>相公山...,闺蜜,深度游 美食 摄影 赏秋,人均5000元,1.4万,76,5
合肥上海国庆七日之旅,2021-10-03 出发,共7天,上海>合肥,上海迪士尼度假区>明教寺>李鸿章故居>上海玩具总动员酒店>外滩>静安寺>包公园...,家庭,美食 古镇 自驾 游轮 国庆,人均7610元,4024,53,6
藏地寻秘，踏入无尽之境｜川进青出西藏阿里大环线22日全记录,2021-09-16 出发,共22天,甘孜藏族自治州Ganzi Prefecture>林芝>拉萨>日喀则>定日Dingri>札达>阿里,康巴汉子村>鲁朗国际旅游小镇>色季拉山>八廓街>扎耶巴寺>色拉寺>扎什伦布寺>加乌...,家庭,深度游 自驾 中秋节 摄影 国庆,人均7000元,3757,63,4
青海甘肃|逆时针走青甘环线，美食、美景不可辜负,2021-09-28 出发,共13天,青海湖qinghaihu,,三五好友,美食,人均12000元,2719,43,4
国庆四日无锡游——没法去大海边的话，就去太湖吧~,2021-10-05 出发,共5天,无锡,三国城>水浒城>鼋头渚>樱花谷>南长街>惠山古镇>拈花湾>惠山,亲子,国庆,人均1000元,7070,39,8
用脚步丈量英雄城市︱南昌,2021-10-05 出发,共5天,南昌,老闵田螺馆·赣味特色(百盛店)>百盛>万寿宫(施尧路)>胜利路步行街>蛤蟆街>南昌久壹...,闺蜜,深度游 美食 国庆 第一次,人均2000元,1.3万,60,8
江西九江  牵起你的手，邂逅我们的庐山恋,2021-09-22 出发,共4天,庐山市>九江>庐山西海Lushan Xihai Scenic Area>庐山Lushan,白鹿洞书院>观音桥>秀峰>桃花源>含鄱口>三叠泉>美庐>九江>锁江楼>九江长江大桥...,情侣,深度游 美食 海滨海岛 自驾 中秋节 登山 短途周末 国庆,人均3000元,4.3万,64,5
五上贵州‖我和贵州的不了情,2021-06-05 出发,共16天,织金>六盘水>兴义>贵阳>大方>盘县>毕节,织金洞>妥乐村>南龙布依古寨>青岩古镇>万佛寺>甲秀楼>奢香古镇>文昌阁>贵州宣慰...,三五好友,环游 美食 摄影 夏季,人均6200元,1.5万,53,8
读懂【桂林】读懂一个人，了解一座城。桂林旅游/桂林旅游攻略/桂林自由行,2021-10-08 出发,共4天,桂林>阳朔,艾美酒店>阳朔>桂林北站>桂林站>两江国际机场>十里画廊>兴坪古镇>遇龙河景区...,家庭,深度游 美食 暑假 摄影,人均1500元,9808,50,13
【浙南】拂去岁月风尘  圆我廊桥之梦,2016-10-26 出发,共6天,泰顺>景宁,北涧桥>溪东桥>泰顺廊桥,独自一人,深度游 古镇,人均15000元,1.2万,8,1
川渝十日世遗之旅,2021-10-15 出发,共10天,重庆>峨眉山,大足石刻>灵秀温泉>报国寺>峨眉山>万年寺>峨嵋金顶>金顶>洪崖洞>重庆西站>洪崖...,家庭,,人均3250元,3195,64,5
这样的大理你见过吗？五天四晚看不一样的大理,2022-11-06 出发,共1天,大理,洱源,三五好友,自驾 赏秋,人均6000元,1.4万,10,0
拯救周末 | 畅游海洋王国•入住海洋科学酒店,2021-10-16 出发,共2天,澳门Macau>长隆旅游度假区Changlong tourism and vacation,,家庭,深度游 漫游 自驾 短途周末 国庆,人均1000元,1.1万,35,7
